date,description,amount,category
2023-01-28,Gonzalez-Espinoza Multi-lateral clear-thinking migration,411.89,Transportation
2023-01-18,Nguyen and Sons Organic responsive conglomeration,87.06,Rent
2023-06-22,Wilson-Greene Down-sized local groupware,375.77,Groceries
2023-02-21,Gardner-Bell Synergistic content-based matrix,221.59,Insurance
2023-11-29,"Harvey, Smith and Welch Upgradable zero-defect portal",381.35,Gifts & Donations
2023-09-06,Miller LLC Multi-layered zero-defect matrices,338.69,Health & Fitness
2023-09-13,Humphrey PLC Focused client-driven protocol,467.42,Personal Care
2023-10-28,"Sullivan, Levy and Mcdonald Profit-focused well-modulated leverage",56.85,Health & Fitness
2023-07-14,Mccarty-Curry Synergistic zero tolerance initiative,180.82,Utilities
2023-12-15,"Hodges, Kelley and Barker User-friendly fresh-thinking standardization",60.36,Education
2023-09-04,Thomas and Sons Cross-group value-added superstructure,138.29,Rent
2023-09-30,"Moore, Evans and Baldwin Open-architected didactic model",249.94,Shopping
2023-12-03,Phillips Inc Multi-layered stable process improvement,263.06,Rent
2023-09-14,Davis-Fowler Automated object-oriented solution,256.26,Education
2023-07-19,"Robinson, Scott and Morgan Expanded optimizing database",45.63,Shopping
2023-01-01,Baker-Aguirre Adaptive asymmetric project,318.33,Groceries
2023-09-18,Hughes-Barrera Multi-channeled directional array,449.91,Groceries
2023-11-04,Young-Lewis Polarized exuding installation,440.94,Travel
2023-12-08,"Roberts, Harper and Roberts Robust eco-centric task-force",179.67,Transportation
2023-06-23,Morales and Sons Team-oriented interactive time-frame,131.37,Personal Care
2023-01-07,Bates-Long Optional reciprocal instruction set,264.75,Insurance
2023-11-16,Hopkins PLC Public-key 4thgeneration Graphical User Interface,119.02,Rent
2023-10-01,"Schmidt, Blake and Fisher Multi-tiered static orchestration",158.93,Shopping
2023-06-18,Johnson Ltd Decentralized multi-tasking instruction set,183.31,Insurance
2023-03-28,"Miller, Hays and Holt Reverse-engineered regional firmware",32.66,Entertainment
2023-08-13,Roberts-Harris Multi-tiered solution-oriented concept,30.2,Entertainment
2023-07-19,Collins PLC Stand-alone optimal workforce,189.41,Personal Care
2023-03-03,Kim Ltd Streamlined modular neural-net,361.17,Transportation
2023-10-12,Sutton-Blake Object-based attitude-oriented middleware,152.16,Insurance
