date,description,amount,category
2018-01-01,supermarket,1000.99,Market expenses
2018-01-01,Amazon,11.11,Shopping
2018-01-02,Mortgage Payment,1247.44,Mortgage & Rent
2018-01-02,Thai Restaurant,24.22,Restaurants
2018-01-03,Credit Card Payment,2298.09,Credit Card Payment
2018-01-04,Netflix,11.76,Movies & DVDs
2018-01-05,American Tavern,25.85,Restaurants
2018-01-06,Hardware Store,18.45,Home Improvement
2018-01-08,Gas Company,45.0,Utilities
2018-01-08,Hardware Store,15.38,Home Improvement
2018-01-09,Spotify,10.69,Music
2018-01-10,Phone Company,89.46,Mobile Phone
2018-01-11,Shell,34.87,Gas & Fuel
2018-01-11,Grocery Store,43.54,Groceries
2018-01-12,Biweekly Paycheck,2000.0,Paycheck
2018-01-13,Pizza Place,32.91,Fast Food
2018-01-13,Amazon,39.05,Shopping
2018-01-15,Grocery Store,44.19,Groceries
2018-01-15,American Tavern,64.11,Restaurants
2018-01-16,City Water Charges,35.0,Utilities
2018-01-16,Power Company,60.0,Utilities
2018-01-19,Biweekly Paycheck,2000.0,Paycheck
2018-01-20,Amazon,50.21,Shopping
2018-01-22,Credit Card Payment,554.99,Credit Card Payment
2018-01-22,Credit Card Payment,309.81,Credit Card Payment
2018-01-22,Credit Card Payment,554.99,Credit Card Payment
2018-01-22,Hardware Store,17.38,Home Improvement
2018-01-23,Credit Card Payment,309.81,Credit Card Payment
2018-01-24,Starbucks,3.0,Coffee Shops
2018-01-25,Internet Service Provider,69.99,Internet
2018-01-29,Shell,30.42,Gas & Fuel
2018-01-29,Thai Restaurant,25.0,Restaurants
2018-01-29,Brunch Restaurant,17.62,Restaurants
2018-02-01,Grocery Store,27.79,Groceries
2018-02-01,Amazon,11.11,Shopping
2018-02-02,Mortgage Payment,1247.44,Mortgage & Rent
2018-02-02,Biweekly Paycheck,2000.0,Paycheck
2018-02-03,Japanese Restaurant,57.02,Restaurants
2018-02-04,Netflix,11.76,Movies & DVDs
2018-02-05,Credit Card Payment,145.14,Credit Card Payment
2018-02-06,Credit Card Payment,154.13,Credit Card Payment
2018-02-07,Credit Card Payment,154.13,Credit Card Payment
2018-02-07,Gas Company,65.0,Utilities
2018-02-09,Barbershop,30.0,Haircut
2018-02-09,Spotify,10.69,Music
2018-02-10,Bojangles,10.66,Fast Food
2018-02-11,Fancy Restaurant,106.8,Restaurants
2018-02-12,Shell,36.47,Gas & Fuel
2018-02-12,Phone Company,89.52,Mobile Phone
2018-02-14,Brewing Company,14.0,Alcohol & Bars
2018-02-15,American Tavern,10.0,Restaurants
2018-02-15,Power Company,60.0,Utilities
2018-02-16,Biweekly Paycheck,2000.0,Paycheck
2018-02-16,Brunch Restaurant,8.0,Restaurants
2018-02-16,City Water Charges,35.0,Utilities
2018-02-20,Grocery Store,35.95,Groceries
2018-02-20,Mexican Restaurant,23.51,Restaurants
2018-02-21,Starbucks,2.0,Coffee Shops
2018-02-22,Starbucks,4.0,Coffee Shops
2018-02-26,Credit Card Payment,765.37,Credit Card Payment
2018-02-26,Credit Card Payment,156.11,Credit Card Payment
2018-02-26,Credit Card Payment,765.37,Credit Card Payment
2018-02-26,Internet Service Provider,74.99,Internet
2018-02-26,American Tavern,85.52,Restaurants
2018-02-26,Gas Station,32.21,Gas & Fuel
2018-02-27,Credit Card Payment,156.11,Credit Card Payment
2018-03-01,Grocery Store,32.07,Groceries
2018-03-01,Amazon,13.13,Shopping
2018-03-02,Mortgage Payment,1247.44,Mortgage & Rent
2018-03-02,Biweekly Paycheck,2000.0,Paycheck
2018-03-03,Grocery Store,23.74,Groceries
2018-03-04,Grocery Store,10.69,Groceries
2018-03-04,Netflix,11.76,Movies & DVDs
2018-03-04,BBQ Restaurant,42.24,Restaurants
2018-03-05,Starbucks,3.0,Coffee Shops
2018-03-05,Credit Card Payment,761.59,Credit Card Payment
2018-03-05,Credit Card Payment,761.59,Credit Card Payment
2018-03-07,Starbucks,3.5,Coffee Shops
2018-03-08,BP,34.9,Gas & Fuel
2018-03-08,Gas Company,52.0,Utilities
2018-03-09,Grocery Store,20.72,Groceries
2018-03-09,Grocery Store,5.09,Groceries
2018-03-09,Spotify,10.69,Music
